odo (m/s)
8.422128861678139511e-02
-1.400924994696786108e-01
-8.818972613949120631e-02
-4.433315589378028498e-02
-7.565831361168318114e-02
1.533488147681985048e-01
-6.670203113967179687e-02
1.555920840652280993e-02
-1.285256683904177459e-02
-4.878274598122336186e-02
-4.459331389485033520e-02
-7.655118089324638997e-02
1.424259680307700220e-02
1.117392104596051788e-01
-6.390203955612926146e-02
-7.665748750662598060e-03
-2.761587467352995262e-02
-1.627590630761592272e-01
4.945028036149666517e-02
-1.513504906485288459e-01
8.256380303287749745e-03
-2.930838174539230137e-03
-1.254726254043695144e-01
7.264668462990096082e-03
-3.203189579368324533e-03
-1.636191223002171624e-01
3.930490592432044766e-02
1.083586518650265645e-01
4.639838306109521360e-02
-3.527465407446247342e-02
1.047924741747305148e-02
3.878444187807866816e-02
-2.250395863595046342e-02
3.055679372659533474e-02
1.888887712853482004e-01
-1.052013292383956328e-01
-2.573125428509987628e-02
-1.383058612573955792e-01
-4.029903710580872572e-02
4.786341991016713343e-02
2.750987150894408997e-02
1.149229780269505619e-01
-1.527860222356566267e-01
5.544477019685918606e-02
-1.057095272508787320e-02
-3.868964971743866360e-02
-9.452412864747042343e-02
-1.234717380107554392e-02
7.908713658517080303e-02
-6.168690541257158128e-02
-4.304682055174025024e-02
2.313490104152271520e-01
-4.751768055328685347e-02
-3.055097122927127526e-02
1.890428919908098138e-01
3.296152856700293714e-03
-9.477742292630039755e-02
-1.614205493687997928e-01
-1.172569632738650336e-01
9.301670648148910314e-02
-5.560751129640038176e-02
4.784036777904589893e-02
5.896962741414965570e-02
-7.199684789967795984e-02
2.582925114743743200e-01
-7.036039156516588067e-02
-1.634160951860677002e-01
8.006741398078159877e-02
5.170140739841594391e-02
-6.855706125858929134e-02
-8.124894785598248473e-03
1.055983670240553951e-01
-1.001297825167524885e-01
-2.543566454950459479e-02
1.359015465867380035e-01
-1.383639392957734283e-02
8.923841298986899540e-02
7.911499182568440536e-02
2.653274359508567964e-02
-9.273450834599675230e-02
-1.821454588311353096e-01
1.185341218085564363e-01
2.446977282607989967e-02
4.754630819595100262e-03
1.043413527667852447e-02
1.703346779913338382e-01
9.581609024409518116e-02
-2.456827262193385375e-01
-5.762274806051115306e-02
8.281853764473758039e-02
1.566785797210310527e-01
-1.546249634322721667e-01
2.236505349426581163e-02
-4.868745582509496905e-02
-1.239433521859413523e-01
3.652263477011172266e-02
