ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
9.998566588802032529e-01,-5.469510967983702787e-05,-9.793600732054335012e+00
9.998709929921829609e-01,-5.543411263194823372e-05,-9.793600729761520185e+00
9.998838936929647092e-01,-5.617312618296085511e-05,-9.793600727437905107e+00
9.998955043236682494e-01,-5.691214927348751875e-05,-9.793600725083489777e+00
9.999059538913014356e-01,-5.765118095008555044e-05,-9.793600722698281302e+00
9.999153585021712809e-01,-5.839022035466242926e-05,-9.793600720282277905e+00
9.999238226519541195e-01,-5.912926671494089353e-05,-9.793600717835479585e+00
9.999314403867587409e-01,-5.986831933587727058e-05,-9.793600715357888120e+00
9.999382963480828446e-01,-6.060737759193825740e-05,-9.793600712849508838e+00
9.999444667132745268e-01,-6.134644092014978885e-05,-9.793600710310339963e+00
9.999500200419471074e-01,-6.208550881384113009e-05,-9.793600707740383271e+00
9.999550180377524411e-01,-6.282458081701459442e-05,-9.793600705139640539e+00
9.999595162339771637e-01,-6.356365651927817879e-05,-9.793600702508111766e+00
9.999635646105794473e-01,-6.430273555128499614e-05,-9.793600699845796953e+00
9.999672081495214471e-01,-6.504181758062883834e-05,-9.793600697152703205e+00
9.999704873345692802e-01,-6.578090230815001477e-05,-9.793600694428819864e+00
9.999734386011123188e-01,-6.651998946461074123e-05,-9.793600691674159364e+00
9.999760947410011314e-01,-6.725907880770297235e-05,-9.793600688888712824e+00
9.999784852669010293e-01,-6.799817011935541957e-05,-9.793600686072489125e+00
9.999806367402108709e-01,-6.873726320330980361e-05,-9.793600683225481163e+00
9.999825730661897616e-01,-6.947635788293965659e-05,-9.793600680347694265e+00
9.999843157595708076e-01,-7.021545399928708932e-05,-9.793600677439128432e+00
9.999858841836136714e-01,-7.095455140929590775e-05,-9.793600674499780112e+00
9.999872957652522487e-01,-7.169364998422154912e-05,-9.793600671529658186e+00
9.999885661887270016e-01,-7.243274960819973184e-05,-9.793600668528751996e+00
9.999897095698543348e-01,-7.317185017695866721e-05,-9.793600665497070423e+00
9.999907386128689124e-01,-7.391095159665958655e-05,-9.793600662434609916e+00
9.999916647515819657e-01,-7.465005378285360319e-05,-9.793600659341370473e+00
9.999924982764237802e-01,-7.538915665954256295e-05,-9.793600656217355649e+00
9.999932484487813467e-01,-7.612826015833417965e-05,-9.793600653062563666e+00
9.999939236039031565e-01,-7.686736421768123684e-05,-9.793600649876992748e+00
9.999945312435127853e-01,-7.760646878219728010e-05,-9.793600646660644671e+00
9.999950781191615512e-01,-7.834557380204035650e-05,-9.793600643413521212e+00
9.999955703072453961e-01,-7.908467923235866200e-05,-9.793600640135620594e+00
9.999960132765208787e-01,-7.982378503279149681e-05,-9.793600636826941042e+00
9.999964119488687908e-01,-8.056289116702021588e-05,-9.793600633487489660e+00
9.999967707539818562e-01,-8.130199760236398419e-05,-9.793600630117255790e+00
9.999970936785836928e-01,-8.204110430941589135e-05,-9.793600626716250090e+00
9.999973843107252680e-01,-8.278021126171576649e-05,-9.793600623284469009e+00
9.999976458796527856e-01,-8.351931843545532951e-05,-9.793600619821910769e+00
9.999978812916875404e-01,-8.425842580921309006e-05,-9.793600616328575370e+00
9.999980931625187530e-01,-8.499753336371566046e-05,-9.793600612804464589e+00
9.999982838462668777e-01,-8.573664108162289393e-05,-9.793600609249580202e+00
9.999984554616402344e-01,-8.647574894733461197e-05,-9.793600605663915104e+00
9.999986099154761776e-01,-8.721485694681657642e-05,-9.793600602047478176e+00
9.999987489239285932e-01,-8.795396506744397125e-05,-9.793600598400264090e+00
9.999988740315357560e-01,-8.869307329786029371e-05,-9.793600594722274622e+00
9.999989866283821582e-01,-8.943218162785073302e-05,-9.793600591013509771e+00
9.999990879655439313e-01,-9.017129004822788195e-05,-9.793600587273969538e+00
9.999991791689895049e-01,-9.091039855072891376e-05,-9.793600583503652146e+00
9.999992612520905988e-01,-9.164950712792338441e-05,-9.793600579702561149e+00
9.999993351268815500e-01,-9.238861577312964049e-05,-9.793600575870694769e+00
9.999994016141934283e-01,-9.312772448034032106e-05,-9.793600572008051230e+00
9.999994614527740744e-01,-9.386683324415459498e-05,-9.793600568114632310e+00
9.999995153074966447e-01,-9.460594205971777082e-05,-9.793600564190439783e+00
9.999995637767469248e-01,-9.534505092266643629e-05,-9.793600560235471875e+00
9.999996073990722323e-01,-9.608415982907957424e-05,-9.793600556249728584e+00
9.999996466591649646e-01,-9.682326877543413746e-05,-9.793600552233208134e+00
9.999996819932485126e-01,-9.756237775856535337e-05,-9.793600548185912302e+00
9.999997137939236058e-01,-9.830148677563086399e-05,-9.793600544107844641e+00
9.999997424145312674e-01,-9.904059582407844387e-05,-9.793600539998996268e+00
9.999997681730781185e-01,-9.977970490161709250e-05,-9.793600535859374290e+00
9.999997913557703288e-01,-1.005188140061908237e-04,-9.793600531688978705e+00
9.999998122201932960e-01,-1.012579231359551386e-04,-9.793600527487805962e+00
9.999998309981739109e-01,-1.019970322892559919e-04,-9.793600523255861390e+00
9.999998478983564976e-01,-1.027361414646106423e-04,-9.793600518993139659e+00
9.999998631085208478e-01,-1.034752506606906168e-04,-9.793600514699640769e+00
9.999998767976687741e-01,-1.042143598763061525e-04,-9.793600510375370050e+00
9.999998891179019411e-01,-1.049534691103924140e-04,-9.793600506020318619e+00
9.999999002061117359e-01,-1.056925783619970516e-04,-9.793600501634495359e+00
9.999999101855006067e-01,-1.064316876302688310e-04,-9.793600497217898493e+00
9.999999191669505239e-01,-1.071707969144476046e-04,-9.793600492770528021e+00
9.999999272502554382e-01,-1.079099062138551361e-04,-9.793600488292378614e+00
9.999999345252298388e-01,-1.086490155278870099e-04,-9.793600483783452049e+00
9.999999410727068438e-01,-1.093881248560051093e-04,-9.793600479243753654e+00
9.999999469654361484e-01,-1.101272341977312200e-04,-9.793600474673278100e+00
9.999999522688924891e-01,-1.108663435526407277e-04,-9.793600470072028941e+00
9.999999570420032846e-01,-1.116054529203574277e-04,-9.793600465440002623e+00
9.999999613378030006e-01,-1.123445623005488224e-04,-9.793600460777204475e+00
9.999999652040226783e-01,-1.130836716929214318e-04,-9.793600456083627392e+00
9.999999686836203994e-01,-1.138227810972171751e-04,-9.793600451359276704e+00
9.999999718152583483e-01,-1.145618905132096438e-04,-9.793600446604150633e+00
9.999999746337324691e-01,-1.153009999407010659e-04,-9.793600441818247404e+00
9.999999771703592666e-01,-1.160401093795193514e-04,-9.793600437001574122e+00
9.999999794533233066e-01,-1.167792188295155580e-04,-9.793600432154121904e+00
9.999999815079909649e-01,-1.175183282905615872e-04,-9.793600427275894305e+00
9.999999833571918684e-01,-1.182574377625480837e-04,-9.793600422366893099e+00
9.999999850214726926e-01,-1.189965472453825650e-04,-9.793600417427114735e+00
9.999999865193254234e-01,-1.197356567389877547e-04,-9.793600412456560989e+00
9.999999878673928588e-01,-1.204747662433000100e-04,-9.793600407455235413e+00
9.999999890806535729e-01,-1.212138757582679940e-04,-9.793600402423130902e+00
9.999999901725882268e-01,-1.219529852838514963e-04,-9.793600397360254561e+00
9.999999911553294485e-01,-1.226920948200201458e-04,-9.793600392266601062e+00
9.999999920397965036e-01,-1.234312043667526785e-04,-9.793600387142172181e+00
9.999999928358168644e-01,-1.241703139240358535e-04,-9.793600381986967918e+00
9.999999935522351224e-01,-1.249094234918636265e-04,-9.793600376800988272e+00
9.999999941970115769e-01,-1.256485330702365667e-04,-9.793600371584235020e+00
9.999999947773103859e-01,-1.263876426591611522e-04,-9.793600366336706387e+00
9.999999952995793917e-01,-1.271267522586490110e-04,-9.793600361058398818e+00
9.999999957696213970e-01,-1.278658618687167044e-04,-9.793600355749321196e+00
9.999999961926592240e-01,-1.286049714893849948e-04,-9.793600350409464639e+00
9.999999965733933349e-01,-1.293440811206785748e-04,-9.793600345038832700e+00
9.999999969160540125e-01,-1.300831907626254441e-04,-9.793600339637428931e+00
9.999999972244486557e-01,-1.308223004152569361e-04,-9.793600334205246227e+00
9.999999975020037457e-01,-1.315614100786070405e-04,-9.793600328742291694e+00
9.999999977518033711e-01,-1.323005197527124034e-04,-9.793600323248561779e+00
9.999999979766229785e-01,-1.330396294376118662e-04,-9.793600317724054705e+00
9.999999981789606807e-01,-1.337787391333463847e-04,-9.793600312168772248e+00
9.999999983610645682e-01,-1.345178488399586766e-04,-9.793600306582717963e+00
9.999999985249581336e-01,-1.352569585574931669e-04,-9.793600300965881189e+00
9.999999986724623646e-01,-1.359960682859957446e-04,-9.793600295318276139e+00
9.999999988052161726e-01,-1.367351780255138163e-04,-9.793600289639892154e+00
9.999999989246945997e-01,-1.374742877760957104e-04,-9.793600283930738115e+00
9.999999990322251398e-01,-1.382133975377910834e-04,-9.793600278190803365e+00
9.999999991290026147e-01,-1.389525073106504319e-04,-9.793600272420095010e+00
9.999999992161023865e-01,-1.396916170947252555e-04,-9.793600266618613048e+00
9.999999992944921257e-01,-1.404307268900677045e-04,-9.793600260786350375e+00
9.999999993650429131e-01,-1.411698366967307691e-04,-9.793600254923319426e+00
9.999999994285385663e-01,-1.419089465147680090e-04,-9.793600249029511318e+00
9.999999994856847430e-01,-1.426480563442336614e-04,-9.793600243104927827e+00
9.999999995371162687e-01,-1.433871661851823158e-04,-9.793600237149567178e+00
9.999999995834046862e-01,-1.441262760376692395e-04,-9.793600231163431147e+00
9.999999996250642509e-01,-1.448653859017498893e-04,-9.793600225146523286e+00
