ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
3.048607962051539033e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048608142458162718e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048608322864785691e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048608503271409376e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048608683678032349e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048608864084655323e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048609044491278652e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048609224897902337e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048609405304525310e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048609585711148284e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048609766117770548e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048609946524393877e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048610126931016850e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048610307337639824e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048610487744262088e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048610668150885417e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048610848557507680e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048611028964130654e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048611209370753272e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048611389777375535e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048611570183998154e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048611750590620417e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048611930997242681e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048612111403865299e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048612291810487562e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048612472217109470e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048612652623731734e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048612833030354352e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048613013436975905e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048613193843598523e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048613374250220431e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048613554656841984e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048613735063463892e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048613915470085445e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048614095876707353e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048614276283329261e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048614456689950813e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048614637096572721e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048614817503194629e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048614997909815472e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048615178316437380e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048615358723058577e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048615539129680485e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048615719536301327e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048615899942922525e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048616080349543722e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048616260756164920e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048616441162786117e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048616621569407314e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048616801976028157e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048616982382649354e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048617162789270552e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.048617343195891038e+01,1.144699999999999989e+02,0.000000000000000000e+00
