ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.045000000000000284e+01,1.144699999999999989e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.045000373443562225e+01,1.144699999999999989e+02,0.000000000000000000e+00,9.100023905258995960e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.045001640807322474e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.910000000063495795e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.045003810208971018e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.910000000000002807e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.045006881648715336e+01,1.144699999999999989e+02,0.000000000000000000e+00,3.909999999999981490e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.045010855126541927e+01,1.144699999999999989e+02,0.000000000000000000e+00,4.909999999999960174e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.045015730642434448e+01,1.144699999999999989e+02,0.000000000000000000e+00,5.909999999999938858e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.045021508196372650e+01,1.144699999999999989e+02,0.000000000000000000e+00,6.909999999999917542e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.045028187788333085e+01,1.144699999999999989e+02,0.000000000000000000e+00,7.909999999999896225e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.045035769418287330e+01,1.144699999999999989e+02,0.000000000000000000e+00,8.909999999999875797e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.045044253086204478e+01,1.144699999999999989e+02,0.000000000000000000e+00,9.909999999999854481e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.045053638792048289e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.090999999999983316e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045063926535781462e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.190999999999981185e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045075116317359942e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.290999999999979053e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045087208136738255e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.390999999999976922e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045100201993865596e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.490999999999974790e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045114097888688320e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.590999999999972658e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045128895821148518e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.690999999999986514e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045144595791184727e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.791000000000002146e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045161197798731934e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.891000000000017778e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045178701843721214e+01,1.144699999999999989e+02,0.000000000000000000e+00,1.991000000000033410e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045196549512906259e+01,1.144700171960170820e+02,0.000000000000000000e+00,1.927867151252666034e+01,4.974025001154129377e+00,0.000000000000000000e+00
3.045211191715278432e+01,1.144701286322686258e+02,0.000000000000000000e+00,1.067351635487568906e+01,1.680726475730701708e+01,0.000000000000000000e+00
3.045212983319807520e+01,1.144703283414615385e+02,0.000000000000000000e+00,-5.899721917252978898e+00,1.901581923817898812e+01,0.000000000000000000e+00
3.045203238494492837e+01,1.144704996933532613e+02,0.000000000000000000e+00,-1.456431689391517637e+01,1.357530012241461748e+01,0.000000000000000000e+00
3.045188322816815685e+01,1.144706136896861750e+02,0.000000000000000000e+00,-1.798602282098471505e+01,8.538798690859877638e+00,0.000000000000000000e+00
3.045171447916306562e+01,1.144706838044164101e+02,0.000000000000000000e+00,-1.923128258587070860e+01,5.154208969609146429e+00,0.000000000000000000e+00
3.045153869663148072e+01,1.144707258075089413e+02,0.000000000000000000e+00,-1.967223062347343188e+01,3.067807408702077687e+00,0.000000000000000000e+00
3.045136043513251067e+01,1.144707507425110151e+02,0.000000000000000000e+00,-1.982690591582888473e+01,1.817113591629019975e+00,0.000000000000000000e+00
3.045118130546924462e+01,1.144707654984603664e+02,0.000000000000000000e+00,-1.988098536485283674e+01,1.074486352877799700e+00,0.000000000000000000e+00
3.045100187243594192e+01,1.144707742210882202e+02,0.000000000000000000e+00,-1.989987171298914959e+01,6.349848868969932836e-01,0.000000000000000000e+00
3.045082233347333656e+01,1.144707793752844083e+02,0.000000000000000000e+00,-1.990646483106659659e+01,3.751771974975662283e-01,0.000000000000000000e+00
3.045064275753071925e+01,1.144707824204885469e+02,0.000000000000000000e+00,-1.990876613189256261e+01,2.216553757998414864e-01,0.000000000000000000e+00
3.045046316867747294e+01,1.144707842195731757e+02,0.000000000000000000e+00,-1.990956935257075955e+01,1.309511175533087657e-01,0.000000000000000000e+00
3.045028357531485597e+01,1.144707852824420655e+02,0.000000000000000000e+00,-1.990984969512117431e+01,7.736354242473394982e-02,0.000000000000000000e+00
3.045010398037515742e+01,1.144707859103635172e+02,0.000000000000000000e+00,-1.990994754056220728e+01,4.570483644171249166e-02,0.000000000000000000e+00
3.044992438488178976e+01,1.144707862813260846e+02,0.000000000000000000e+00,-1.990998169060680922e+01,2.700147616142426973e-02,0.000000000000000000e+00
3.044974478919196770e+01,1.144707865004826886e+02,0.000000000000000000e+00,-1.990999360965684772e+01,1.595191013246412964e-02,0.000000000000000000e+00
3.044956519343035595e+01,1.144707866299555974e+02,0.000000000000000000e+00,-1.990999776964315870e+01,9.424055273807192823e-03,0.000000000000000000e+00
3.044938559764047170e+01,1.144707867064453524e+02,0.000000000000000000e+00,-1.990999922156126445e+01,5.567534736560590149e-03,0.000000000000000000e+00
3.044920600183749215e+01,1.144707867516338098e+02,0.000000000000000000e+00,-1.990999972830960019e+01,3.289183016407203498e-03,0.000000000000000000e+00
3.044902640602744626e+01,1.144707867844149405e+02,0.000000000000000000e+00,-1.990999975350296936e+01,3.132973815080478640e-03,0.000000000000000000e+00
3.044884681021243011e+01,1.144707868170333853e+02,0.000000000000000000e+00,-1.990999975350362661e+01,3.132969665961032619e-03,0.000000000000000000e+00
3.044866721439247570e+01,1.144707868496517733e+02,0.000000000000000000e+00,-1.990999975350362661e+01,3.132969665881456516e-03,0.000000000000000000e+00
