accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
9.258608890989655782e-02,2.053677993292987638e-03,-9.793558791001528263e+00
1.904365804535990969e-01,-1.442880502764822296e-03,-9.789504005073171200e+00
2.823284628725441503e-01,1.597536485624191562e-03,-9.791982868607297164e+00
3.400854569352219636e-01,-6.677068280936465476e-03,-9.801344411267285395e+00
4.228676397879277404e-01,-1.659174032359049273e-03,-9.790630572258121944e+00
4.627487342920313940e-01,-3.366870831142579779e-03,-9.796626100924770597e+00
5.165391481210009905e-01,-4.240902149959710835e-03,-9.785225979935995966e+00
5.664761216598291904e-01,-5.139871995884601197e-03,-9.793531659901359987e+00
6.134354478211759831e-01,8.349300675466344787e-03,-9.787013716324056034e+00
6.599302881713312585e-01,-4.128747004004970720e-04,-9.788314090228226405e+00
6.842599288907320609e-01,5.027235131142710096e-03,-9.788224336399668601e+00
7.126194941455281651e-01,-8.177798576876140618e-03,-9.795147674891726552e+00
7.340960923766638446e-01,-6.908209084076999493e-04,-9.791026952979571263e+00
7.686014848899841434e-01,7.830641584775449582e-03,-9.797739570623731353e+00
8.002482658715767139e-01,-1.556501789602683433e-03,-9.801665437549740290e+00
8.277521971758622366e-01,3.498852918032313141e-03,-9.788714894099852515e+00
8.297434946740323003e-01,-1.086697558624851422e-03,-9.794233367374292953e+00
8.529858760373276727e-01,4.638926583194441337e-03,-9.788280322201721617e+00
8.624924967047752355e-01,5.157984672033356921e-03,-9.787469311924780868e+00
8.790403822906958098e-01,2.989867286798141011e-03,-9.792460320100635940e+00
8.997127073663354624e-01,-1.401474667687413597e-03,-9.790251124236082347e+00
8.960871099180237609e-01,3.502591534955866275e-03,-9.798349472318195197e+00
9.046128907457711144e-01,9.094904947822165381e-03,-9.791453949903113241e+00
9.148268985611978099e-01,1.162882460319640369e-02,-9.794905369673667650e+00
9.310604155705134444e-01,-2.748054931385965089e-03,-9.796221158964305786e+00
9.258118900399232576e-01,-1.029283251698021100e-04,-9.797218681410129193e+00
9.433747918349547623e-01,6.314678349024343933e-03,-9.794412318024889430e+00
9.515962783330066399e-01,3.412502647381811119e-04,-9.786675156002786480e+00
9.449699223365288780e-01,2.574191001284338934e-03,-9.789359322039153710e+00
9.602110009780959743e-01,-2.355865111680269589e-03,-9.785215691500061652e+00
9.592557127701408781e-01,-4.113232354975267582e-03,-9.792512617468386082e+00
9.617814002339052371e-01,5.791261062469341137e-03,-9.786342207391385273e+00
9.772195010673987436e-01,1.458212689515558762e-03,-9.793741746295482997e+00
9.792855597042678939e-01,-2.463486948910952067e-04,-9.804379511433907624e+00
9.738801737008889736e-01,7.083271420241104861e-04,-9.792679613562004448e+00
9.828008494487178170e-01,1.052966404979530828e-03,-9.791852442640610832e+00
9.857958346753432632e-01,-1.666438949503519984e-03,-9.799696558593192108e+00
9.860662070949478553e-01,2.795821543359575199e-03,-9.797740509728303238e+00
9.819840292106357671e-01,1.185932183350441168e-03,-9.793260634733657710e+00
9.819527219764638826e-01,-5.097850778419404797e-04,-9.784525440335171353e+00
9.880146170194175070e-01,-1.107749326271057367e-03,-9.793463587160516681e+00
9.890746325598718247e-01,-6.369202680266065723e-03,-9.796709323922753399e+00
9.916779583450388014e-01,3.120594567444312864e-03,-9.790674159240230878e+00
9.875140263563867427e-01,-1.124873233263822513e-03,-9.805125570344907615e+00
9.899115627398081818e-01,4.303962824741737296e-03,-9.794913134784074771e+00
9.990308337593022392e-01,-9.841935209043497796e-04,-9.802979002723478885e+00
9.902291012115258528e-01,-1.353663052059721292e-03,-9.787915738892024820e+00
9.914214450440385074e-01,1.788230852971018714e-03,-9.791781849658320880e+00
9.942269220581033684e-01,8.331722784299880205e-04,-9.789900228307994112e+00
