gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.044351632445330580e+01,1.144711570657288604e+02,7.033223306537315977e+00,5.998636409904078093e+00,1.897945724885329000e+01,7.604157898515757907e-02
3.044356654487776837e+01,1.144712925525529101e+02,-1.287954029646289733e+01,1.449193799451135689e+01,1.352459401943569617e+01,6.542645715996326392e-04
3.044372803970828656e+01,1.144714235577522459e+02,-6.543987807307586557e+00,1.792224667256418513e+01,8.474854818592730155e+00,4.277268629860597055e-02
3.044399888032960888e+01,1.144714318503032047e+02,-9.689500435162399228e+00,1.915265388474280783e+01,5.114855504846175016e+00,4.808777379529796669e-02
3.044409928714281932e+01,1.144715154933376766e+02,8.445214823687431149e+00,1.964031198816341472e+01,3.066396160103649571e+00,7.410228946908335723e-02
3.044421085218132106e+01,1.144715067553076437e+02,-3.558796279156442033e+00,1.984342872087325205e+01,1.808852829738348822e+00,4.136395735379444147e-03
3.044443473895658414e+01,1.144715122597640828e+02,1.291472545917911674e+01,1.988105578161204434e+01,1.080292586295609647e+00,-2.013135320867318750e-02
3.044461039320997742e+01,1.144714784601156197e+02,-7.850761073222418673e+00,1.983025352009321196e+01,5.599832501379932159e-01,4.472016673352487842e-02
3.044472643001058643e+01,1.144716263150434088e+02,5.770118363445425835e+00,1.993332453066291876e+01,3.851276553058706753e-01,-9.485038219901052725e-02
3.044492443628878320e+01,1.144714985730091001e+02,1.165766312578082520e+01,2.000300714406885660e+01,2.578749288302135123e-01,-8.211034570421416046e-02
3.044513231986296731e+01,1.144715933508533112e+02,1.561276298366854443e+00,1.996097424472787552e+01,6.910761368810325322e-02,1.417816126040438848e-04
3.044522743477318372e+01,1.144716206365552154e+02,-5.811729619991500506e+00,1.995465054316429132e+01,1.283901936660078180e-01,-4.719640301700286922e-02
3.044543322315530176e+01,1.144716571358874404e+02,-1.046473341531303225e+00,1.983333247054549275e+01,3.725595542711271357e-02,-4.766758186098271621e-02
3.044575946022751012e+01,1.144715261797443162e+02,5.156431251631270196e-02,2.002726288813672539e+01,4.621961070435960661e-02,-3.398645876905719704e-02
3.044594690660732539e+01,1.144715413043874008e+02,-1.446434851122665854e+01,1.988681773677189568e+01,1.023108984093817550e-02,3.938676106031183122e-02
3.044602031940455333e+01,1.144715298284593814e+02,-7.310918913841298661e+00,1.998297640594432423e+01,4.634130898004430038e-02,8.522847497115839874e-03
3.044619012957078397e+01,1.144715206144568782e+02,3.346488757532427583e-01,1.996826400223343612e+01,3.675395191483513818e-02,-6.020196003559106362e-02
3.044635570262768809e+01,1.144715684520706844e+02,-1.673891544290905387e+01,1.990567273568231954e+01,-1.102143377751648064e-02,9.435256794974578032e-02
3.044650281035949391e+01,1.144716155732143363e+02,2.164122439580248169e+01,2.002003869457861285e+01,-8.091948866831520648e-02,7.766526923109592917e-02
3.044677426478583371e+01,1.144715485113746496e+02,5.631132941686804116e+00,1.983074510294037651e+01,-6.229564424607857837e-02,-1.696856841359991458e-02
3.044686974394369372e+01,1.144716355651968342e+02,8.053750031588677860e-01,1.993263685488637904e+01,2.212545364979954035e-02,1.021281680628877316e-02
3.044715447105193107e+01,1.144716024663767513e+02,-1.084891713367245103e+01,1.987670952989891404e+01,2.858220486196222723e-02,2.319406111361234368e-02
3.044730497510365552e+01,1.144715615169787242e+02,3.272286054454753845e-02,1.998937217777995912e+01,4.525927639734735053e-02,-1.694750068601879949e-04
3.044748228345145336e+01,1.144716732410120130e+02,1.789360180192812455e-01,1.990762432490619105e+01,-1.263406294734756817e-02,-6.007250241643766198e-03
3.044766498599178561e+01,1.144716092116739645e+02,3.862204777658237553e+00,1.995180992903133443e+01,-8.375795956829105993e-02,-6.627900984951808072e-02
3.044785763384617283e+01,1.144715602121570015e+02,6.688043181437872686e-01,1.997593018817046229e+01,-2.183851564296874007e-02,-5.750433688778087277e-02
3.044791327706736084e+01,1.144715031160806689e+02,-3.922823176314294003e+00,1.997927715015143946e+01,3.625038849894077989e-03,9.696370362624341654e-02
3.044813997277182693e+01,1.144715899763392741e+02,1.328578131223804970e+00,1.985713685321386279e+01,-5.383212472814657978e-02,5.635768100361134014e-02
3.044834748587958373e+01,1.144714815443592926e+02,-1.707979241389705027e+00,2.005909708047792961e+01,4.490220807851661583e-02,3.871081195521766920e-03
3.044853602278878313e+01,1.144715502902203212e+02,-5.535693262801725467e+00,1.984220951186123472e+01,2.095877823305711610e-02,-3.180140612496624303e-02
3.044874866328661511e+01,1.144715279807523416e+02,-2.029730964648329916e+00,1.983922071858934544e+01,4.667241677937505190e-02,-6.371361268144927481e-02
3.044889178541185260e+01,1.144716019448342053e+02,8.173816355404264655e+00,1.997962823556452960e+01,2.017299326484838645e-02,4.143919518970909897e-03
3.044902847608646823e+01,1.144716413928969700e+02,-6.605855601978642966e+00,1.983132917304748943e+01,6.182636021620580707e-02,-3.029275529477964968e-02
3.044930971683093190e+01,1.144715398942631026e+02,2.934786137537971573e+00,1.987889593115998110e+01,5.939161652323607377e-02,4.872359155757634980e-02
3.044941961411288389e+01,1.144714567875602000e+02,1.966263409804849616e+01,1.990976103993023472e+01,-5.569888770513348186e-02,3.155851798320280510e-02
3.044971029776853655e+01,1.144716064052731497e+02,2.458300235284398561e+00,1.989876495880786678e+01,3.776067593773474451e-02,5.455201884447265226e-02
3.044979782921342348e+01,1.144716109970986366e+02,-2.192751848901530565e+01,1.988721553896703043e+01,-9.842857701941010520e-03,3.231483725966491621e-04
3.044996119171110749e+01,1.144715387307961123e+02,3.472406637897445414e+00,1.990528027220931051e+01,3.261870456005329377e-02,3.993829699654499743e-02
3.045014170695732147e+01,1.144715573307450427e+02,1.487098965150725505e+01,1.983643446807624144e+01,-1.006584672355761816e-02,-3.514316173564455831e-02
3.045043305128288580e+01,1.144715572048582715e+02,-7.051805821320797918e+00,1.988453352326055423e+01,1.689129695059414862e-02,1.584344626172405623e-02
3.045054142234257100e+01,1.144715154066901448e+02,3.773572862007357198e+00,1.994380031104737938e+01,4.020759889609690219e-02,4.381169605767117059e-02
3.045069994075353392e+01,1.144714572772603560e+02,8.385104277829902308e-01,1.993323935906253652e+01,4.490216051845571238e-02,-1.437194711549649451e-01
3.045085622708706552e+01,1.144715215118776257e+02,7.946220673745871821e+00,2.003976599640783718e+01,7.071998329280800022e-02,6.259791952157474360e-02
3.045113097640381739e+01,1.144715873805533874e+02,4.834568723414612634e+00,1.991071549935660556e+01,6.265054248446361163e-02,5.244283038433397715e-02
3.045124041727454411e+01,1.144715652642014163e+02,7.142699851897748253e+00,1.994199160490961376e+01,3.157407233057424323e-02,4.385764888049913102e-02
3.045139866148210217e+01,1.144715710792640806e+02,-2.591179024750296822e+00,1.983445376957067552e+01,1.855027391663142608e-02,-1.182025713649729748e-01
3.045162683785302349e+01,1.144715742865726185e+02,3.765701759885542899e+00,1.990402685344836797e+01,-1.740932578474969558e-02,-9.822723827948465214e-03
3.045178907072050123e+01,1.144715479696356795e+02,-1.346283980845251094e+01,1.990676443343086177e+01,2.013792157481462952e-02,-3.055961847202573120e-02
3.045200006224536793e+01,1.144715744482002435e+02,-5.383137379339373751e+00,1.927219798440650678e+01,4.954193331138883494e+00,5.851558147202946640e-03
3.045204180000651561e+01,1.144718085148157911e+02,1.604318291818834785e+00,1.064568519954685222e+01,1.679704350396998080e+01,-4.463108935693665957e-02
3.045216394872790744e+01,1.144718411829520903e+02,-2.728978267747758757e+00,-5.921145359447870682e+00,1.898824214642429453e+01,-2.089332804384940248e-02
3.045204558335550971e+01,1.144720610337489290e+02,-4.956101230308831873e+00,-1.451113221412368937e+01,1.355517304163887715e+01,2.039308496251815775e-02
3.045184945349759786e+01,1.144721656093492612e+02,-6.989246435103136257e+00,-1.798043048354033147e+01,8.580501240505132188e+00,-1.348167547478144185e-02
3.045170424499145057e+01,1.144722285525269427e+02,4.357642286033785339e+00,-1.919155454298280716e+01,5.169867596303610924e+00,-1.520762224999942791e-02
3.045155081675480702e+01,1.144722147051488150e+02,-5.568067950988226933e+00,-1.965808807916604550e+01,3.114932519586750992e+00,-1.127534137151195047e-03
3.045132744844354278e+01,1.144722531413131890e+02,-4.794015579608819522e+00,-1.984756718361465033e+01,1.760375926788159795e+00,9.125751874337491298e-02
3.045120767206137913e+01,1.144722522337524708e+02,7.224751123694759691e+00,-1.987616861402258550e+01,1.109364325846399657e+00,-3.178677631934873071e-02
3.045098730723222502e+01,1.144723881630695388e+02,-1.436873455025611535e-01,-1.997505881852685050e+01,6.828519444811855799e-01,9.167965982008025386e-03
3.045082463688476082e+01,1.144723311330710089e+02,4.801341013387791179e+00,-1.996875328697822383e+01,4.266932735742698379e-01,-8.486619735332609493e-02
3.045059028777295396e+01,1.144723734550484551e+02,-8.585599812570691824e+00,-1.991165354223338824e+01,1.257656471196046677e-01,7.317935573254084891e-02
3.045035332312831855e+01,1.144723658369473895e+02,2.127422582505159809e+00,-1.990235949165278484e+01,1.668142111673217576e-01,5.373925752108706100e-02
3.045036396576643511e+01,1.144723275256992991e+02,-1.441310247112753240e+00,-2.001512422094123878e+01,1.173207449434401639e-01,-4.513991333861956667e-02
3.045017592951639429e+01,1.144722885966958756e+02,4.253774946791980760e+00,-1.979663757030783700e+01,4.391991637505839735e-02,2.148347834251735505e-02
3.044992830496408587e+01,1.144723432835177448e+02,2.543676401317008562e+00,-1.989999053655288819e+01,2.264748236166759521e-02,-4.049137495859775338e-02
3.044969122461736788e+01,1.144722647137594578e+02,-1.242875925240981694e+01,-1.992508839707261004e+01,-5.520795788150175548e-03,-4.856083162799177538e-03
3.044959518523823760e+01,1.144724311882698089e+02,-1.501931442668899486e+01,-1.995798179911380643e+01,2.394605664774192288e-02,-4.502804821164582694e-02
3.044930622970660394e+01,1.144723410534827792e+02,1.138789768507409095e+00,-1.988995792985533129e+01,-2.995551221685293503e-02,3.567111961829841013e-03
3.044914800124367815e+01,1.144724091816879508e+02,5.800163682753415983e+00,-1.987941043805366093e+01,-3.091986013712159920e-02,-1.058839790678255677e-01
3.044896779070146664e+01,1.144723193871568014e+02,-4.170796728779398777e+00,-1.985961512505438620e+01,-7.245999543327720505e-02,6.805679463435963805e-02
3.044883319904650776e+01,1.144723008589619440e+02,6.932941141005232843e+00,-1.995013141814922619e+01,-2.017175581663685491e-03,9.181407123220990119e-02
3.044864307800382619e+01,1.144723503359222008e+02,6.465084193487383724e-01,-1.997276931375398590e+01,-6.143994152198346652e-03,-1.736794320048777682e-03
3.044855708540805495e+01,1.144723977264010557e+02,4.603856165953494006e+00,-1.996368657207332120e+01,-1.145171999091002674e-02,5.242218941486762041e-02
3.044830108108583033e+01,1.144723030338682435e+02,-3.569582747531911515e+00,-1.986838684383516451e+01,-8.476156822568747806e-03,-3.048615043666342856e-03
3.044814466809711817e+01,1.144723473343645992e+02,-3.277151303254805192e+00,-1.993992995665023571e+01,3.753596712122464485e-02,9.889161306435662047e-02
3.044792826861819890e+01,1.144723876547295021e+02,7.579335766066785496e+00,-1.999586856548042846e+01,5.724540224349707745e-02,6.615019841585091653e-02
3.044775937717609082e+01,1.144723448465926907e+02,4.255857697344461954e+00,-1.991187188481660186e+01,4.500361073869511147e-02,-2.442550448067630497e-02
3.044754697214441919e+01,1.144723733458603618e+02,3.225534332312326224e+00,-2.002817357422085465e+01,4.629124999759152287e-02,5.080486463936343539e-02
3.044742334327325040e+01,1.144723362287248420e+02,3.734350286013333520e+00,-1.983393381611882589e+01,-5.674271590763889372e-02,-1.077984481387204430e-01
3.044723733377091790e+01,1.144724311649138997e+02,-6.843195186181968204e+00,-1.998917433843729441e+01,-5.873708825322700861e-02,6.428742912268790854e-02
3.044705017845160100e+01,1.144722921397594462e+02,-7.887410475751707395e+00,-1.995683764080350997e+01,-1.673788955389707289e-02,-5.996679310112815880e-02
3.044689179197830953e+01,1.144723431104584250e+02,7.002331117281288542e-01,-2.003284808253044602e+01,-8.442652709323313770e-03,-7.546279467151710552e-02
3.044670816366075883e+01,1.144724040481306986e+02,7.317014772833759118e+00,-1.997277719414620378e+01,-1.293647484605894571e-01,1.562299839165625509e-02
3.044651553585300263e+01,1.144722768414861491e+02,9.626716341765664264e-01,-1.989146281646928571e+01,2.095004035807275858e-02,5.561195567576491389e-02
3.044626694388045252e+01,1.144723801211394090e+02,-7.714853828171094108e+00,-1.987818655924134248e+01,-4.428453074792437077e-02,-1.828178251722680642e-02
3.044613295129341424e+01,1.144723530771689610e+02,5.647937265836103116e+00,-1.987177838169879607e+01,-1.463690784974741241e-02,6.934820173713725222e-02
3.044595167231201316e+01,1.144723717234352875e+02,5.347418799019742153e+00,-1.990534805010525687e+01,-2.569645617739021309e-02,1.853154781909406232e-02
3.044574390344662618e+01,1.144723721041897164e+02,5.566095794278931308e+00,-1.988402748771441608e+01,3.534564456090311113e-02,-1.931278390688687466e-02
3.044566443639337550e+01,1.144724050229833665e+02,-7.338690371744490903e+00,-1.994135572496369235e+01,-5.469631386925000692e-03,-5.385604072219676852e-02
3.044535528710058614e+01,1.144723112507223277e+02,1.063591218768937807e+00,-1.982701497298842952e+01,1.131765929407676022e-02,-3.978360659846999318e-03
3.044520733294842785e+01,1.144724173971933112e+02,1.513312117377692090e+01,-1.987968964169467512e+01,6.161689707119727411e-02,4.409915589813905024e-02
3.044503926624219403e+01,1.144723569360066904e+02,-9.182893286497947116e+00,-1.992958332270746169e+01,-2.144940982297413590e-02,3.940611899887029590e-02
3.044492818032959747e+01,1.144722724453483380e+02,9.123657857776567681e+00,-1.984339799953774630e+01,-2.348973753173584297e-02,2.041557483643530180e-02
3.044464456180250522e+01,1.144723548038797105e+02,-8.670326205465466174e+00,-1.992543147106040280e+01,3.685693926132205256e-02,-4.091032401788863987e-02
3.044444642192970463e+01,1.144723194455379485e+02,-2.021589906112808865e+00,-1.986739628659304557e+01,2.837607091698484893e-02,8.271899783866762390e-04
