accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
9.895804263554817959e-02,2.638722370431328002e-03,-9.797825384465161491e+00
1.949929520642527947e-01,-2.398952992987081652e-03,-9.791262851407074308e+00
2.705562599903617582e-01,-5.320319681151890537e-03,-9.803397860877728576e+00
3.450424488081932917e-01,1.449665779481823210e-03,-9.787441590626675847e+00
3.954208688858835696e-01,-4.034358524739426431e-03,-9.794835825224227577e+00
4.746647608714235078e-01,-2.344869311849390354e-03,-9.793400353443317385e+00
5.194927374977960088e-01,4.320727093444065754e-03,-9.782242914396633182e+00
5.654565277197219908e-01,7.653448435483584285e-03,-9.791435945727684498e+00
6.125644163195376191e-01,2.748196400615347812e-03,-9.794615961406469395e+00
6.485988990521265318e-01,-2.039682289211913659e-04,-9.790947113608702068e+00
6.952014918624840334e-01,-9.747059847852580870e-04,-9.785351338053418502e+00
7.068429450348004961e-01,5.036198144916563535e-03,-9.788894998781335843e+00
7.456266430888874863e-01,-2.133239965675327778e-04,-9.790722509439483190e+00
7.709359319249606823e-01,6.797858844012962323e-03,-9.784555621654032365e+00
8.040562596647506943e-01,-2.733339759542745967e-04,-9.792852190285424641e+00
8.096491601504077762e-01,-5.778423953194359794e-03,-9.793570402729104174e+00
8.398225477166912922e-01,-1.612605895126662057e-04,-9.789354415264147846e+00
8.476730226629691778e-01,-5.441427816237433962e-03,-9.801003437775340998e+00
8.720933647176255521e-01,-1.144640113836823715e-02,-9.789419665785359825e+00
8.811890779015451036e-01,-1.341224281298980005e-03,-9.794022813723753274e+00
8.847926589217011140e-01,2.877443179283525887e-03,-9.788201735464907571e+00
8.999055643691842299e-01,-8.508296310780184835e-03,-9.792839252569445208e+00
9.077303675840632247e-01,-7.712824947648514633e-04,-9.792364877040332871e+00
9.168558048929036364e-01,-3.097029062100814349e-03,-9.786926487517202844e+00
9.315921390097825494e-01,-3.756618716620170086e-03,-9.795754275868524985e+00
9.401688221643337284e-01,-3.491307462396712850e-03,-9.784694792438267896e+00
9.436349606669394152e-01,-7.388474740358325771e-03,-9.800136118426793885e+00
9.534362766821731228e-01,1.427160626683017129e-03,-9.795158648197375584e+00
9.520371410629224762e-01,-2.948595951604536958e-03,-9.800743179248211590e+00
9.575755458917482033e-01,1.898266490321140042e-04,-9.796784491833486541e+00
9.578368992547586780e-01,5.359648157444813973e-04,-9.789802953498352167e+00
9.651931192155669414e-01,-2.930713632127435186e-03,-9.799767506852202104e+00
9.695957798450901555e-01,-2.117994581198170100e-03,-9.790373620503901364e+00
9.715449170097760767e-01,-3.292696430755497582e-03,-9.796094737913767503e+00
9.764415048835237698e-01,3.268780175357045934e-03,-9.792049122779447501e+00
9.730642597804314287e-01,6.334492187077202414e-04,-9.787061398230417097e+00
9.751737474444246434e-01,5.391295422924332649e-03,-9.787462676449166565e+00
9.795767970817909065e-01,3.564109537144708253e-03,-9.790611185729346744e+00
9.793568789042849110e-01,2.153979347409777471e-04,-9.797283329995776668e+00
9.836381141941671347e-01,-2.030682511073554804e-03,-9.798710169315267393e+00
9.918738863907853309e-01,1.177975892777004437e-02,-9.788430680923751126e+00
9.869137722738242635e-01,-3.607846111556684953e-03,-9.793251016292561673e+00
9.853713303056046424e-01,-2.610250299015722496e-03,-9.788968547233794837e+00
9.910440115952043882e-01,-6.840385045365701688e-03,-9.790763415088525434e+00
9.903763918816532730e-01,4.661849183130353791e-03,-9.793964695741145476e+00
9.904014438393800024e-01,-6.077829704600632918e-03,-9.790599507490677311e+00
9.894126264684045546e-01,-7.029991929521372390e-03,-9.796969758462477529e+00
9.936251724159177456e-01,-6.316214416377109557e-03,-9.789441807033382403e+00
9.973766746387575655e-01,-3.345340708053682992e-03,-9.788163993498940840e+00
9.933460817673916976e-01,-7.043546433787986789e-03,-9.789431571017164657e+00
9.938896183619658764e-01,6.945068770075960886e-03,-9.787888784407016374e+00
1.001510100820955262e+00,1.061871013199530006e-02,-9.788150146918745520e+00
1.002636141709922768e+00,1.058447019245265441e-03,-9.790962906115749931e+00
1.002112392466973478e+00,1.216407892254001664e-03,-9.796574322806050006e+00
1.000379767861574010e+00,3.833018182706612528e-04,-9.797722981135805753e+00
9.946001392877210634e-01,-2.346157256123883577e-03,-9.795997244136289694e+00
9.979699132372560344e-01,-4.226898569283015460e-03,-9.792219617794104991e+00
1.001444608083299048e+00,-9.738560791068917241e-03,-9.791170314487985138e+00
1.001470176344057217e+00,-1.093583286611215198e-03,-9.796572307737848817e+00
9.964188344072493209e-01,-7.058278726258717523e-03,-9.804013570251209231e+00
1.000460696286934237e+00,-2.696105282521869904e-04,-9.798370359176681532e+00
9.949578597465423835e-01,-1.501648345188458938e-03,-9.796906293860249804e+00
9.885665099626784746e-01,9.934789637761560002e-04,-9.793939359001342382e+00
9.987505967820440311e-01,4.265889187663580127e-03,-9.796119125437941833e+00
9.917322890154638415e-01,-3.001590551646998208e-03,-9.783842734967764798e+00
1.000039843621674862e+00,5.622300999161158972e-04,-9.789986770006665395e+00
1.001715911708142670e+00,1.074926337214681012e-02,-9.796196404245801403e+00
1.004265692520729392e+00,6.555963165321008340e-03,-9.801513260237197045e+00
9.980672007807895874e-01,-1.787587832092211310e-02,-9.790396164341965246e+00
1.005584893347532427e+00,-3.197940381415596833e-03,-9.790812169253312547e+00
9.877989243854546908e-01,-5.795911951423123173e-04,-9.790999639094847495e+00
9.939877462504531636e-01,4.692125078678869958e-03,-9.795154132035127859e+00
9.987811358540483742e-01,-1.455479693954169059e-03,-9.793896912295966928e+00
1.001970797133004298e+00,-5.965698643488309694e-03,-9.797779136593833371e+00
9.999616988836422804e-01,-7.448676482772757963e-03,-9.796473803925008994e+00
9.920139090135835502e-01,-5.575235297989259570e-03,-9.796537264446882887e+00
1.003681307797504862e+00,-2.613873823186555877e-03,-9.797231562116543557e+00
9.904565019747940680e-01,-1.277154490626829491e-03,-9.796599360015042279e+00
