ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.000000000000000000e+00,-1.478217465158571369e-03,-9.793537842174435681e+00
0.000000000000000000e+00,-1.478217544333768800e-03,-9.793537843598169701e+00
0.000000000000000000e+00,-1.478217623508965147e-03,-9.793537845021903721e+00
0.000000000000000000e+00,-1.478217702684159977e-03,-9.793537846445637740e+00
0.000000000000000000e+00,-1.478217781859353288e-03,-9.793537847869371760e+00
0.000000000000000000e+00,-1.478217861034544865e-03,-9.793537849293104003e+00
0.000000000000000000e+00,-1.478217940209735357e-03,-9.793537850716838022e+00
0.000000000000000000e+00,-1.478218019384923898e-03,-9.793537852140572042e+00
0.000000000000000000e+00,-1.478218098560110921e-03,-9.793537853564306062e+00
0.000000000000000000e+00,-1.478218177735297293e-03,-9.793537854988036528e+00
0.000000000000000000e+00,-1.478218256910481280e-03,-9.793537856411770548e+00
0.000000000000000000e+00,-1.478218336085664400e-03,-9.793537857835504568e+00
0.000000000000000000e+00,-1.478218415260846002e-03,-9.793537859259238587e+00
0.000000000000000000e+00,-1.478218494436025869e-03,-9.793537860682974383e+00
0.000000000000000000e+00,-1.478218573611203785e-03,-9.793537862106710179e+00
0.000000000000000000e+00,-1.478218652786380833e-03,-9.793537863530442422e+00
0.000000000000000000e+00,-1.478218731961556363e-03,-9.793537864954176442e+00
0.000000000000000000e+00,-1.478218811136730159e-03,-9.793537866377910461e+00
0.000000000000000000e+00,-1.478218890311902654e-03,-9.793537867801642705e+00
0.000000000000000000e+00,-1.478218969487073630e-03,-9.793537869225378500e+00
0.000000000000000000e+00,-1.478219048662243306e-03,-9.793537870649110744e+00
0.000000000000000000e+00,-1.478219127837411030e-03,-9.793537872072848316e+00
0.000000000000000000e+00,-1.478219207012577670e-03,-9.793537873496580559e+00
0.000000000000000000e+00,-1.478219286187742575e-03,-9.793537874920314579e+00
0.000000000000000000e+00,-1.478219365362906179e-03,-9.793537876344048598e+00
0.000000000000000000e+00,-1.478219444538068266e-03,-9.793537877767784394e+00
0.000000000000000000e+00,-1.478219523713228617e-03,-9.793537879191516637e+00
0.000000000000000000e+00,-1.478219602888388102e-03,-9.793537880615252433e+00
0.000000000000000000e+00,-1.478219682063545200e-03,-9.793537882038988229e+00
0.000000000000000000e+00,-1.478219761238701215e-03,-9.793537883462722249e+00
0.000000000000000000e+00,-1.478219840413855929e-03,-9.793537884886456268e+00
0.000000000000000000e+00,-1.478219919589009125e-03,-9.793537886310192064e+00
0.000000000000000000e+00,-1.478219998764160803e-03,-9.793537887733927860e+00
0.000000000000000000e+00,-1.478220077939310963e-03,-9.793537889157661880e+00
0.000000000000000000e+00,-1.478220157114459605e-03,-9.793537890581395899e+00
0.000000000000000000e+00,-1.478220236289606729e-03,-9.793537892005133472e+00
0.000000000000000000e+00,-1.478220315464752336e-03,-9.793537893428867491e+00
0.000000000000000000e+00,-1.478220394639896424e-03,-9.793537894852599734e+00
0.000000000000000000e+00,-1.478220473815039212e-03,-9.793537896276339083e+00
0.000000000000000000e+00,-1.478220552990180698e-03,-9.793537897700071326e+00
0.000000000000000000e+00,-1.478220632165320016e-03,-9.793537899123807122e+00
0.000000000000000000e+00,-1.478220711340458250e-03,-9.793537900547542918e+00
0.000000000000000000e+00,-1.478220790515595183e-03,-9.793537901971276938e+00
0.000000000000000000e+00,-1.478220869690730381e-03,-9.793537903395012734e+00
0.000000000000000000e+00,-1.478220948865864061e-03,-9.793537904818748530e+00
0.000000000000000000e+00,-1.478221028040996657e-03,-9.793537906242484326e+00
0.000000000000000000e+00,-1.478221107216127518e-03,-9.793537907666220121e+00
0.000000000000000000e+00,-1.478221186391256645e-03,-9.793537909089954141e+00
0.000000000000000000e+00,-1.478221265566384470e-03,-9.793537910513689937e+00
0.000000000000000000e+00,-1.478221344741510561e-03,-9.793537911937425733e+00
0.000000000000000000e+00,-1.478221423916635351e-03,-9.793537913361163305e+00
0.000000000000000000e+00,-1.478221503091758839e-03,-9.793537914784897325e+00
0.000000000000000000e+00,-1.478221582266880810e-03,-9.793537916208634897e+00
0.000000000000000000e+00,-1.478221661442001046e-03,-9.793537917632368917e+00
0.000000000000000000e+00,-1.478221740617119981e-03,-9.793537919056106489e+00
0.000000000000000000e+00,-1.478221819792237615e-03,-9.793537920479842285e+00
0.000000000000000000e+00,-1.478221898967353298e-03,-9.793537921903578081e+00
0.000000000000000000e+00,-1.478221978142468113e-03,-9.793537923327315653e+00
0.000000000000000000e+00,-1.478222057317580759e-03,-9.793537924751047896e+00
0.000000000000000000e+00,-1.478222136492692322e-03,-9.793537926174787245e+00
0.000000000000000000e+00,-1.478222215667802366e-03,-9.793537927598523041e+00
0.000000000000000000e+00,-1.478222294842910459e-03,-9.793537929022258837e+00
0.000000000000000000e+00,-1.478222374018017902e-03,-9.793537930445996409e+00
0.000000000000000000e+00,-1.478222453193123176e-03,-9.793537931869732205e+00
0.000000000000000000e+00,-1.478222532368227149e-03,-9.793537933293466224e+00
0.000000000000000000e+00,-1.478222611543329821e-03,-9.793537934717205573e+00
0.000000000000000000e+00,-1.478222690718430975e-03,-9.793537936140941369e+00
0.000000000000000000e+00,-1.478222769893530178e-03,-9.793537937564678941e+00
0.000000000000000000e+00,-1.478222849068628296e-03,-9.793537938988412961e+00
0.000000000000000000e+00,-1.478222928243725330e-03,-9.793537940412150533e+00
0.000000000000000000e+00,-1.478223007418820413e-03,-9.793537941835888105e+00
0.000000000000000000e+00,-1.478223086593913544e-03,-9.793537943259623901e+00
0.000000000000000000e+00,-1.478223165769006024e-03,-9.793537944683363250e+00
0.000000000000000000e+00,-1.478223244944096770e-03,-9.793537946107099046e+00
0.000000000000000000e+00,-1.478223324119185781e-03,-9.793537947530834842e+00
0.000000000000000000e+00,-1.478223403294273274e-03,-9.793537948954572414e+00
0.000000000000000000e+00,-1.478223482469359683e-03,-9.793537950378308210e+00
0.000000000000000000e+00,-1.478223561644444357e-03,-9.793537951802047559e+00
0.000000000000000000e+00,-1.478223640819527080e-03,-9.793537953225783355e+00
0.000000000000000000e+00,-1.478223719994609152e-03,-9.793537954649519151e+00
0.000000000000000000e+00,-1.478223799169689273e-03,-9.793537956073260276e+00
0.000000000000000000e+00,-1.478223878344768092e-03,-9.793537957496994295e+00
0.000000000000000000e+00,-1.478223957519845177e-03,-9.793537958920733644e+00
0.000000000000000000e+00,-1.478224036694920961e-03,-9.793537960344471216e+00
0.000000000000000000e+00,-1.478224115869995444e-03,-9.793537961768207012e+00
0.000000000000000000e+00,-1.478224195045068192e-03,-9.793537963191944584e+00
0.000000000000000000e+00,-1.478224274220139639e-03,-9.793537964615683933e+00
0.000000000000000000e+00,-1.478224353395209134e-03,-9.793537966039421505e+00
0.000000000000000000e+00,-1.478224432570277545e-03,-9.793537967463159077e+00
0.000000000000000000e+00,-1.478224511745344655e-03,-9.793537968886896650e+00
0.000000000000000000e+00,-1.478224590920409814e-03,-9.793537970310634222e+00
0.000000000000000000e+00,-1.478224670095473672e-03,-9.793537971734370018e+00
0.000000000000000000e+00,-1.478224749270535794e-03,-9.793537973158109367e+00
0.000000000000000000e+00,-1.478224828445597050e-03,-9.793537974581846939e+00
0.000000000000000000e+00,-1.478224907620656354e-03,-9.793537976005586287e+00
0.000000000000000000e+00,-1.478224986795714140e-03,-9.793537977429323860e+00
0.000000000000000000e+00,-1.478225065970770625e-03,-9.793537978853059656e+00
0.000000000000000000e+00,-1.478225145145825592e-03,-9.793537980276799004e+00
0.000000000000000000e+00,-1.478225224320878608e-03,-9.793537981700536577e+00
0.000000000000000000e+00,-1.478225303495930756e-03,-9.793537983124277702e+00
0.000000000000000000e+00,-1.478225382670981603e-03,-9.793537984548015274e+00
0.000000000000000000e+00,-1.478225461846030715e-03,-9.793537985971751070e+00
0.000000000000000000e+00,-1.478225541021077876e-03,-9.793537987395490418e+00
0.000000000000000000e+00,-1.478225620196123953e-03,-9.793537988819227991e+00
0.000000000000000000e+00,-1.478225699371168511e-03,-9.793537990242967339e+00
0.000000000000000000e+00,-1.478225778546211552e-03,-9.793537991666704912e+00
0.000000000000000000e+00,-1.478225857721252859e-03,-9.793537993090444260e+00
0.000000000000000000e+00,-1.478225936896293080e-03,-9.793537994514181833e+00
0.000000000000000000e+00,-1.478226016071331785e-03,-9.793537995937921181e+00
0.000000000000000000e+00,-1.478226095246368971e-03,-9.793537997361658753e+00
0.000000000000000000e+00,-1.478226174421404422e-03,-9.793537998785398102e+00
