ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
3.601799448540546865e-03,-9.922422129305388604e-06,-2.117390891401351415e-03
3.601799444873671468e-03,-1.001262564892089034e-05,-2.117390897638909194e-03
3.601799441173461191e-03,-1.010282919766128116e-05,-2.117390903933172048e-03
3.601799437439916467e-03,-1.019303277261361644e-05,-2.117390910284139543e-03
3.601799433673035997e-03,-1.028323637115624791e-05,-2.117390916691812112e-03
3.601799429872820646e-03,-1.037343999092968396e-05,-2.117390923156189757e-03
3.601799426039269114e-03,-1.046364362981038251e-05,-2.117390929677272476e-03
3.601799422172383570e-03,-1.055384728588715433e-05,-2.117390936255059836e-03
3.601799418272162278e-03,-1.064405095743991604e-05,-2.117390942889552270e-03
3.601799414338606540e-03,-1.073425464292059636e-05,-2.117390949580749780e-03
3.601799410371714621e-03,-1.082445834093592603e-05,-2.117390956328651496e-03
3.601799406371488689e-03,-1.091466205023195749e-05,-2.117390963133259155e-03
3.601799402337926576e-03,-1.100486576968013453e-05,-2.117390969994571454e-03
3.601799398271029583e-03,-1.109506949826475452e-05,-2.117390976912587961e-03
3.601799394170796843e-03,-1.118527323507167919e-05,-2.117390983887311277e-03
3.601799390037229657e-03,-1.127547697927818543e-05,-2.117390990918737500e-03
3.601799385870327590e-03,-1.136568073014380720e-05,-2.117390998006870098e-03
3.601799381670089777e-03,-1.145588448700213286e-05,-2.117391005151706904e-03
3.601799377436516649e-03,-1.154608824925338008e-05,-2.117391012353249651e-03
3.601799373169608642e-03,-1.163629201635775170e-05,-2.117391019611496606e-03
3.601799368869364887e-03,-1.172649578782941503e-05,-2.117391026926449069e-03
3.601799364535786252e-03,-1.181669956323112319e-05,-2.117391034298106173e-03
3.601799360168872303e-03,-1.190690334216934807e-05,-2.117391041726468786e-03
3.601799355768623041e-03,-1.199710712428991470e-05,-2.117391049211536039e-03
3.601799351335038465e-03,-1.208731090927405408e-05,-2.117391056753308368e-03
3.601799346868119443e-03,-1.217751469683487615e-05,-2.117391064351785770e-03
3.601799342367864240e-03,-1.226771848671417309e-05,-2.117391072006968248e-03
3.601799337834274157e-03,-1.235792227867955972e-05,-2.117391079718855800e-03
3.601799333267348760e-03,-1.244812607252187818e-05,-2.117391087487447993e-03
3.601799328667087616e-03,-1.253832986805288388e-05,-2.117391095312745695e-03
3.601799324033492459e-03,-1.262853366510316175e-05,-2.117391103194748471e-03
3.601799319366561121e-03,-1.271873746352022554e-05,-2.117391111133455888e-03
3.601799314666295337e-03,-1.280894126316683389e-05,-2.117391119128868380e-03
3.601799309932693371e-03,-1.289914506391946906e-05,-2.117391127180985946e-03
3.601799305165757394e-03,-1.298934886566696137e-05,-2.117391135289808587e-03
3.601799300365484801e-03,-1.307955266830925081e-05,-2.117391143455337171e-03
3.601799295531878196e-03,-1.316975647175628762e-05,-2.117391151677569527e-03
3.601799290664935409e-03,-1.325996027592701244e-05,-2.117391159956507393e-03
3.601799285764657743e-03,-1.335016408074847540e-05,-2.117391168292149899e-03
3.601799280831045197e-03,-1.344036788615502298e-05,-2.117391176684497913e-03
3.601799275864096470e-03,-1.353057169208754245e-05,-2.117391185133551002e-03
3.601799270863813730e-03,-1.362077549849285030e-05,-2.117391193639308732e-03
3.601799265830195242e-03,-1.371097930532307223e-05,-2.117391202201771971e-03
3.601799260763241008e-03,-1.380118311253511289e-05,-2.117391210820939850e-03
3.601799255662951893e-03,-1.389138692009018157e-05,-2.117391219496813238e-03
3.601799250529327898e-03,-1.398159072795337034e-05,-2.117391228229391267e-03
3.601799245362368590e-03,-1.407179453609325597e-05,-2.117391237018674370e-03
3.601799240162073968e-03,-1.416199834448154588e-05,-2.117391245864662548e-03
3.601799234928443165e-03,-1.425220215309278502e-05,-2.117391254767355801e-03
3.601799229661477916e-03,-1.434240596190405099e-05,-2.117391263726754128e-03
3.601799224361177353e-03,-1.443260977089471177e-05,-2.117391272742857530e-03
3.601799219027541910e-03,-1.452281358004620377e-05,-2.117391281815665140e-03
3.601799213660570719e-03,-1.461301738934180487e-05,-2.117391290945178691e-03
3.601799208260263781e-03,-1.470322119876646161e-05,-2.117391300131397317e-03
3.601799202826622397e-03,-1.479342500830662823e-05,-2.117391309374320584e-03
3.601799197359645700e-03,-1.488362881795010408e-05,-2.117391318673949360e-03
3.601799191859333688e-03,-1.497383262768591837e-05,-2.117391328030282342e-03
3.601799186325686797e-03,-1.506403643750416760e-05,-2.117391337443321267e-03
3.601799180758704158e-03,-1.515424024739596301e-05,-2.117391346913065266e-03
3.601799175158386206e-03,-1.524444405735328319e-05,-2.117391356439513473e-03
3.601799169524733373e-03,-1.533464786736891313e-05,-2.117391366022667188e-03
3.601799163857745227e-03,-1.542485167743634590e-05,-2.117391375662525978e-03
3.601799158157421767e-03,-1.551505548754973868e-05,-2.117391385359089408e-03
3.601799152423762994e-03,-1.560525929770381276e-05,-2.117391395112358347e-03
3.601799146656768907e-03,-1.569546310789382137e-05,-2.117391404922331927e-03
3.601799140856439506e-03,-1.578566691811548529e-05,-2.117391414789011449e-03
3.601799135022775225e-03,-1.587587072836495560e-05,-2.117391424712395179e-03
3.601799129155775197e-03,-1.596607453863875271e-05,-2.117391434692483983e-03
3.601799123255440289e-03,-1.605627834893375274e-05,-2.117391444729277861e-03
3.601799117321770067e-03,-1.614648215924713678e-05,-2.117391454822776381e-03
3.601799111354764531e-03,-1.623668596957636711e-05,-2.117391464972980409e-03
3.601799105354423682e-03,-1.632688977991914657e-05,-2.117391475179890379e-03
