gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
5.009682929739455587e-02,5.499095725351781788e-02,8.867193833941411363e-01
-4.607694662434159982e-02,2.098572531323846663e-02,1.681669943653020471e+00
2.803499759662867949e-02,-7.383226140756936340e-02,2.490522794483772451e+00
-3.748438088561274750e-02,-1.446657277564678120e-03,3.085198147091410270e+00
6.220283383319794024e-02,-1.165015358865592737e-01,3.647877889582276101e+00
-2.852961855232719751e-02,-6.506840549821145403e-02,4.202468084816455729e+00
-2.949902907086514314e-02,-4.030460636254974000e-02,4.698583569086203227e+00
-1.757714050147442253e-02,-7.610449692306630459e-03,5.121753017975868794e+00
-3.171084911327654715e-02,-1.322269535975291802e-02,5.516678018314933318e+00
4.379326165171500140e-02,-2.412028755674441513e-02,5.794897517385602548e+00
-7.136392838437057018e-02,-3.741744942978988964e-02,6.164465204856716340e+00
1.425108708542101137e-02,1.004209433839541032e-02,6.433961089833065472e+00
-1.002142557026881528e-02,7.307097711051519125e-03,6.778822155730209964e+00
1.421250251488997800e-02,-1.384411237498268596e-02,6.880512118617111206e+00
5.286979721603629612e-02,3.920196038033185726e-02,7.155680582827103287e+00
3.789819584218831472e-02,-6.869754895790740334e-02,7.384613172059934172e+00
-2.819256217021364266e-02,-5.139786660958676166e-03,7.465470398757362069e+00
3.927330180584991115e-02,-2.016588220064577386e-02,7.601116438035636413e+00
-3.263167220859428119e-02,1.298579229180372441e-01,7.692587809101381069e+00
-1.473867440914199828e-02,-6.725748475115345126e-02,7.975434291384550178e+00
-3.548560152949942897e-02,-1.379252112011852653e-02,8.027947648183971552e+00
3.117217620891995708e-02,7.435001772860017066e-02,8.171622863827735728e+00
-6.057705793928452875e-02,-4.162216333550188690e-02,8.169168723754884454e+00
1.628964745236415393e-02,6.990196516871195753e-02,8.325939823681897778e+00
1.889523821608187631e-02,1.691934269333548319e-02,8.415172706829352478e+00
1.013047248051571203e-02,3.577111510736072364e-02,8.420344846442999298e+00
-2.007521122595912894e-02,4.024187576663017935e-02,8.488833775257452530e+00
-5.186773038966158850e-02,1.442956527991738104e-02,8.500423264966681103e+00
7.456005725511062610e-02,2.492227610083942724e-02,8.574464514585315555e+00
-6.739244178115492978e-02,8.049742607283560600e-03,8.573696074086639030e+00
2.519979334604682125e-02,6.329000838731142775e-02,8.727385842255568349e+00
3.569743129006462418e-03,-3.808033288972963865e-02,8.666110818102541913e+00
-1.708047779070399202e-02,8.259740064112687172e-03,8.714302823006240928e+00
2.680261691970772450e-02,-1.108195992971521861e-02,8.757610220983959692e+00
1.336187876130492773e-02,-1.771358799941165352e-02,8.851318261540999544e+00
4.873527017830136393e-02,-2.014817770631289334e-02,8.786963201299689885e+00
-3.052968416209153948e-02,5.735750226236761840e-02,8.814372004111696413e+00
-9.516979612852383488e-03,5.966315145209118154e-02,8.858075226489916076e+00
2.059321954647800462e-02,1.473260698207986760e-02,8.801025367610646910e+00
1.727705884228713379e-02,-2.681909990301141813e-02,8.897585189661510796e+00
5.285476390274607660e-03,-5.411416600245112091e-02,8.918953067938936385e+00
1.371674644014237061e-02,-5.495740898486565357e-03,8.911003248298280610e+00
3.627397816056441258e-03,3.256538785855448564e-02,8.870705073071709634e+00
-2.116918476763702400e-02,-1.802297182977238843e-02,8.964655404062465749e+00
-2.243159363799075365e-02,-1.002045602385045336e-02,8.852968135102667446e+00
2.438801295041468156e-02,2.914983789502663403e-02,8.963627639851683426e+00
6.766923498425511663e-02,8.366079382595670300e-02,8.891839918464706116e+00
-1.514095274652567553e-02,-2.327658750121454345e-02,8.924463379231564630e+00
-3.255745928061480610e-02,-6.305473116823702429e-02,8.947915906809141617e+00
2.988472395665968395e-02,-6.083995305432085034e-03,8.901717471167076567e+00
1.422485356455283068e-02,-2.746027244528417149e-02,8.962353823629989336e+00
-1.088170520477749204e-02,-3.604511344797778349e-02,8.963946482266274884e+00
1.745770371639324137e-02,1.398336991838997415e-02,8.988890774593683020e+00
-4.480507144736547986e-02,-4.110257214855184832e-02,8.992811111634665622e+00
-2.730612674434567538e-02,1.777341454738595034e-02,8.968870631838422369e+00
2.871015993506373376e-02,-1.894530963214546490e-02,9.034033892342826277e+00
4.940645187807211208e-02,-8.857179080204146890e-03,8.986028366791138922e+00
-1.498391160184639644e-02,-1.764432125452265743e-02,8.935410650765906126e+00
-4.037969351052021066e-02,-2.297557324298789630e-02,8.953902512312851059e+00
-6.275044677478962274e-03,-3.707303405470620261e-02,8.958373417535737460e+00
3.301955089333115378e-02,-5.714869868529436070e-02,9.011444227385851491e+00
-3.330637522304528975e-02,4.665920586026418848e-02,8.932882779816004870e+00
-2.602783413830501991e-02,8.258436667778079761e-05,8.877063388488876328e+00
-1.095029617037907368e-02,5.235155717882431642e-02,9.030948675394641967e+00
