ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
3.507338756677767788e-03,-9.540706138367706975e-04,8.997863949169843778e+00
3.506047266090215383e-03,-9.595786687060384526e-04,8.997863893515230416e+00
3.504747125835828200e-03,-9.650846865931724580e-04,8.997863831357850728e+00
3.503438339130686852e-03,-9.705886539122442159e-04,8.997863763352750510e+00
3.502120909212117980e-03,-9.760905570828141108e-04,8.997863690089502597e+00
3.500794839338702488e-03,-9.815903825299240361e-04,8.997863612098749186e+00
3.499460132790267741e-03,-9.870881166840924075e-04,8.997863529858106446e+00
3.498116792867887129e-03,-9.925837459813181742e-04,8.997863443797443850e+00
3.496764822893874431e-03,-9.980772568630807105e-04,8.997863354303685668e+00
3.495404226211783812e-03,-1.003568635776349791e-03,8.997863261725088435e+00
3.494035006186403322e-03,-1.009057869173593178e-03,8.997863166375116961e+00
3.492657166203747519e-03,-1.014544943512788334e-03,8.997863068535917108e+00
3.491270709671055739e-03,-1.020029845257438466e-03,8.997862968461440403e+00
3.489875640016787753e-03,-1.025512560876585318e-03,8.997862866380293312e+00
3.488471960690615967e-03,-1.030993076844830426e-03,8.997862762498231248e+00
3.487059675163418047e-03,-1.036471379642349422e-03,8.997862657000476716e+00
3.485638786927270413e-03,-1.041947455754918279e-03,8.997862550053753239e+00
3.484209299495447370e-03,-1.047421291673931304e-03,8.997862441808141654e+00
3.482771216402408970e-03,-1.052892873896424560e-03,8.997862332398748109e+00
3.481324541203791902e-03,-1.058362188925101883e-03,8.997862221947194428e+00
3.479869277476408621e-03,-1.063829223268357004e-03,8.997862110562971694e+00
3.478405428818235647e-03,-1.069293963440301953e-03,8.997861998344649948e+00
3.476932998848403580e-03,-1.074756395960790910e-03,8.997861885380972424e+00
3.475451991207200147e-03,-1.080216507355450783e-03,8.997861771751837878e+00
3.473962409556046339e-03,-1.085674284155705924e-03,8.997861657529185209e+00
3.472464257577499887e-03,-1.091129712898806538e-03,8.997861542777787491e+00
3.470957538975244418e-03,-1.096582780127859907e-03,8.997861427555969627e+00
