accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.118021636923428180e-01,-8.936024135738995441e-03,-9.780279284623860647e+00
1.820271479953521898e-01,1.370634372548838265e-03,-9.795822916375033884e+00
2.750646616197806038e-01,3.484234914499762491e-03,-9.798190957398665191e+00
3.369748534019634811e-01,-3.236608652764243026e-03,-9.802018564607262618e+00
4.194655275291924723e-01,-8.641929977634512858e-03,-9.793226092528932725e+00
4.666368626572248712e-01,-4.470775341498197959e-04,-9.793481136145238963e+00
5.163259768144145001e-01,8.992000926534350104e-04,-9.803983855169597916e+00
5.681109739225431721e-01,2.366773244353739467e-03,-9.795573562738125517e+00
6.092774283233374222e-01,-2.031938423727484150e-03,-9.793353348671894665e+00
6.482556304046697138e-01,5.814710113003032123e-04,-9.801999877058234389e+00
6.828364472812540331e-01,4.577636641447538693e-03,-9.796121598982612255e+00
7.245409583137436549e-01,-2.096175330259647356e-03,-9.788753002035404549e+00
7.424944234860634262e-01,-5.330904899914401703e-03,-9.795743522783249446e+00
7.735247037675870851e-01,4.418737630457417881e-04,-9.786900000532002153e+00
7.982740349028208948e-01,-5.636727309301082373e-03,-9.786897764513556197e+00
8.096044496727795581e-01,5.802779974954007380e-03,-9.793005524725392874e+00
8.327282503525184065e-01,4.922137265563695206e-03,-9.796641984585392038e+00
8.433765231649130723e-01,-8.188666221850126204e-04,-9.792294957990536730e+00
8.691191313926259765e-01,-4.399107000009268818e-03,-9.797592972496218522e+00
8.903892203630329183e-01,-8.738854239878285964e-04,-9.804390365374590743e+00
9.002519807360533921e-01,5.709416931429713449e-04,-9.796714587805055885e+00
8.997836365813398629e-01,1.554573053654823706e-04,-9.793006421363962488e+00
9.156339047720910562e-01,-3.799967949338852770e-03,-9.802633069312054914e+00
9.181340768166009747e-01,-3.473137870115585758e-03,-9.789120030040141529e+00
9.265290204765531668e-01,-5.389088270232779074e-03,-9.789694620455799523e+00
9.347583541509386640e-01,3.684803497634324757e-03,-9.797239934722362875e+00
9.471802483124212024e-01,-9.520518337204256221e-03,-9.800731465714404678e+00
9.492522175296309594e-01,8.363492409948280332e-03,-9.794677177603416496e+00
9.546566682814037197e-01,2.718946699099762318e-03,-9.788903091983632621e+00
