ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.045000000000000284e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045018414205531698e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.091000239052589649e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045037722330691921e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.191000000006350135e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045057932493097042e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.290999999999997883e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045079044692877801e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.391000000000013515e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045101058929948223e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.491000000000029146e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045123975204215228e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.591000000000044778e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045147793515584311e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.691000000000060410e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045172513863956709e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.791000000000076042e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045198136249229748e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.891000000000091674e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045224660671297556e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.991000000000107306e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045252087130049645e+01,1.144699999999999989e+02,0.000000000000000000e+00,3.091000000000122938e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045280415625371973e+01,1.144699999999999989e+02,0.000000000000000000e+00,3.191000000000138570e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045309646157146943e+01,1.144699999999999989e+02,0.000000000000000000e+00,3.291000000000121872e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045339778725252700e+01,1.144699999999999989e+02,0.000000000000000000e+00,3.391000000000101977e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045370813329565962e+01,1.144699999999999989e+02,0.000000000000000000e+00,3.491000000000082082e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045402749969956346e+01,1.144699999999999989e+02,0.000000000000000000e+00,3.591000000000062187e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045435588646291336e+01,1.144699999999999989e+02,0.000000000000000000e+00,3.691000000000042292e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045469329358435218e+01,1.144699999999999989e+02,0.000000000000000000e+00,3.791000000000022396e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045503972106247303e+01,1.144699999999999989e+02,0.000000000000000000e+00,3.891000000000002501e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045539516889584064e+01,1.144699999999999989e+02,0.000000000000000000e+00,3.990999999999982606e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045575292885224172e+01,1.144700344710831246e+02,0.000000000000000000e+00,3.864448920466713844e+01,9.970534294126423447e+00,0.000000000000000000e+00
3.045606094063629854e+01,1.144702399038826712e+02,0.000000000000000000e+00,2.851810777296527988e+01,2.791998619357687517e+01,0.000000000000000000e+00
3.045626934016090814e+01,1.144705764921697693e+02,0.000000000000000000e+00,1.808388801873818608e+01,3.557781744466239360e+01,0.000000000000000000e+00
3.045639818005699695e+01,1.144709638300213328e+02,0.000000000000000000e+00,1.094566858771380602e+01,3.837968784615009099e+01,0.000000000000000000e+00
3.045647549922717090e+01,1.144713694522409071e+02,0.000000000000000000e+00,6.521040914949452372e+00,3.937364760071819347e+01,0.000000000000000000e+00
3.045652142758494563e+01,1.144717815268422783e+02,0.000000000000000000e+00,3.863784494655682522e+00,3.972252848672708581e+01,0.000000000000000000e+00
3.045654861272995717e+01,1.144721958621694711e+02,0.000000000000000000e+00,2.284973691935821893e+00,3.984453532452282332e+01,0.000000000000000000e+00
3.045656468379977966e+01,1.144726109876280589e+02,0.000000000000000000e+00,1.350395401465230183e+00,3.988714745704044162e+01,0.000000000000000000e+00
3.045657418044910969e+01,1.144730263890087656e+02,0.000000000000000000e+00,7.978844843198737991e-01,3.990202351196825958e+01,0.000000000000000000e+00
3.045657979132394999e+01,1.144734418867203658e+02,0.000000000000000000e+00,4.713938971938539391e-01,3.990721598650642932e+01,0.000000000000000000e+00
3.045658386172685184e+01,1.144738574095200647e+02,0.000000000000000000e+00,4.490075234237049240e-01,3.990747414011434557e+01,0.000000000000000000e+00
3.045658791193691783e+01,1.144742729326026591e+02,0.000000000000000000e+00,4.490069288083609056e-01,3.990747414680448202e+01,0.000000000000000000e+00
3.045659196214644382e+01,1.144746884557024487e+02,0.000000000000000000e+00,4.490069287925879671e-01,3.990747414680465965e+01,0.000000000000000000e+00
3.045659601235596625e+01,1.144751039788194191e+02,0.000000000000000000e+00,4.490069287925879671e-01,3.990747414680465965e+01,0.000000000000000000e+00
3.045660006256548513e+01,1.144755195019535847e+02,0.000000000000000000e+00,4.490069287925879671e-01,3.990747414680465965e+01,0.000000000000000000e+00
3.045660411277500401e+01,1.144759350251049170e+02,0.000000000000000000e+00,4.490069287925879671e-01,3.990747414680465965e+01,0.000000000000000000e+00
3.045660816298451934e+01,1.144763505482734587e+02,0.000000000000000000e+00,4.490069287925879671e-01,3.990747414680465965e+01,0.000000000000000000e+00
3.045661221319403111e+01,1.144767660714591813e+02,0.000000000000000000e+00,4.490069287925879671e-01,3.990747414680465965e+01,0.000000000000000000e+00
3.045661626340354289e+01,1.144771815946620706e+02,0.000000000000000000e+00,4.490069287925879671e-01,3.990747414680465965e+01,0.000000000000000000e+00
3.045662031361305466e+01,1.144775971178821692e+02,0.000000000000000000e+00,4.490069287925879671e-01,3.990747414680465965e+01,0.000000000000000000e+00
3.045662436382255933e+01,1.144780126411194345e+02,0.000000000000000000e+00,4.490069287925879671e-01,3.990747414680465965e+01,0.000000000000000000e+00
3.045662841403206045e+01,1.144784281643738950e+02,0.000000000000000000e+00,4.490069287925879671e-01,3.990747414680465965e+01,0.000000000000000000e+00
3.045663246424156512e+01,1.144788436876455506e+02,0.000000000000000000e+00,4.490069287925879671e-01,3.990747414680465965e+01,0.000000000000000000e+00
3.045663651445105558e+01,1.144792592109343872e+02,0.000000000000000000e+00,4.490069287925879671e-01,3.990747414680465965e+01,0.000000000000000000e+00
3.045664056466055669e+01,1.144796747342404046e+02,0.000000000000000000e+00,4.490069287925879671e-01,3.990747414680465965e+01,0.000000000000000000e+00
3.045664461487004715e+01,1.144800902575636172e+02,0.000000000000000000e+00,4.490069287925879671e-01,3.990747414680465965e+01,0.000000000000000000e+00
3.045664866507954116e+01,1.144805057809040107e+02,0.000000000000000000e+00,4.490069287925879671e-01,3.990747414680465965e+01,0.000000000000000000e+00
3.045665271528902451e+01,1.144809213042615852e+02,0.000000000000000000e+00,4.490069287925879671e-01,3.990747414680465965e+01,0.000000000000000000e+00
3.045665676549851142e+01,1.144813368276363548e+02,0.000000000000000000e+00,4.490069287925879671e-01,3.990747414680465965e+01,0.000000000000000000e+00
3.045666081570799122e+01,1.144817523510283053e+02,0.000000000000000000e+00,4.490069287925879671e-01,3.990747414680465965e+01,0.000000000000000000e+00
3.045663497894378935e+01,1.144821656731391357e+02,0.000000000000000000e+00,-9.535133955403029660e+00,3.875421680865846241e+01,0.000000000000000000e+00
3.045646048163860087e+01,1.144825234979418411e+02,0.000000000000000000e+00,-2.759737657762968510e+01,2.883041633470600118e+01,0.000000000000000000e+00
3.045617124680482135e+01,1.144827678232066148e+02,0.000000000000000000e+00,-3.537211322607576847e+01,1.848301127851361514e+01,0.000000000000000000e+00
3.045583715413803461e+01,1.144829208897849639e+02,0.000000000000000000e+00,-3.825411474433787617e+01,1.137676602233770851e+01,0.000000000000000000e+00
3.045548664283881735e+01,1.144830146957794454e+02,0.000000000000000000e+00,-3.929779080775027467e+01,6.963600909750946144e+00,0.000000000000000000e+00
3.045513018902860125e+01,1.144830723425560706e+02,0.000000000000000000e+00,-3.967654504185210840e+01,4.310437743648224185e+00,0.000000000000000000e+00
3.045477156604612645e+01,1.144831083811020704e+02,0.000000000000000000e+00,-3.981630654810970782e+01,2.733099498178235720e+00,0.000000000000000000e+00
3.045441213361089083e+01,1.144831316005640218e+02,0.000000000000000000e+00,-3.986943044449426310e+01,1.799059763215322905e+00,0.000000000000000000e+00
3.045405238821166449e+01,1.144831472348910637e+02,0.000000000000000000e+00,-3.989052157472402627e+01,1.246751176643820846e+00,0.000000000000000000e+00
3.045369251565379543e+01,1.144831583853249413e+02,0.000000000000000000e+00,-3.989938689868282040e+01,9.203396705586612825e-01,0.000000000000000000e+00
3.045333260402870224e+01,1.144831677580095715e+02,0.000000000000000000e+00,-3.989989689355545011e+01,8.979576179475085018e-01,0.000000000000000000e+00
3.045297269192639078e+01,1.144831771073565108e+02,0.000000000000000000e+00,-3.989989690693488456e+01,8.979570234451086375e-01,0.000000000000000000e+00
3.045261277980419834e+01,1.144831864566684914e+02,0.000000000000000000e+00,-3.989989690693523983e+01,8.979570234293918762e-01,0.000000000000000000e+00
