ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
3.052215904120496148e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052216084526119744e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052216264931744050e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052216445337368000e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052216625742991596e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052216806148615191e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052216986554239142e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052217166959862027e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052217347365485978e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052217527771109573e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052217708176732813e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052217888582356409e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052218068987979649e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052218249393603244e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052218429799226129e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052218610204849369e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052218790610472610e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052218971016095495e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052219151421718735e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052219331827341620e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052219512232964860e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052219692638587745e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052219873044210274e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052220053449833514e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052220233855455689e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052220414261078929e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052220594666701459e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052220775072323988e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052220955477946873e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052221135883569403e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052221316289191932e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052221496694814107e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052221677100436636e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052221857506058456e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052222037911680985e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052222218317303515e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052222398722925334e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052222579128547508e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052222759534169327e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052222939939791146e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052223120345413676e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052223300751035495e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052223481156657314e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052223661562279133e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052223841967900952e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052224022373522772e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052224202779143880e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052224383184765699e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052224563590387518e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052224743996008627e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052224924401630446e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052225104807251910e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052225285212873018e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052225465618494127e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052225646024115946e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052225826429737054e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052226006835358163e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052226187240979627e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052226367646600025e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052226548052221133e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052226728457842242e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052226908863462995e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052227089269084104e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052227269674704502e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052227450080325610e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052227630485946364e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052227810891566762e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052227991297187515e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052228171702807913e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052228352108428311e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052228532514049064e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052228712919669462e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052228893325290215e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052229073730909903e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052229254136530656e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052229434542150344e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052229614947771097e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052229795353390784e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052229975759010827e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052230156164630870e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052230336570250557e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052230516975870600e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052230697381490288e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052230877787110330e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052231058192730373e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052231238598350060e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052231419003969393e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052231599409589435e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052231779815208412e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052231960220828455e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052232140626447787e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052232321032067119e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052232501437686096e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052232681843305429e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052232862248924761e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052233042654544093e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052233223060163425e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052233403465782757e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052233583871401734e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052233764277020356e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052233944682639688e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052234125088258310e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052234305493876931e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052234485899496264e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052234666305114885e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052234846710733507e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052235027116352128e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052235207521970750e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052235387927589372e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052235568333207993e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052235748738826615e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052235929144444881e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052236109550063503e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052236289955681414e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052236470361300036e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052236650766917947e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052236831172535858e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052237011578154124e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052237191983772746e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052237372389390657e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052237552795007858e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052237733200625769e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052237913606244035e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052238094011861946e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052238274417479147e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052238454823097413e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052238635228715324e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052238815634332525e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052238996039950081e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052239176445567281e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052239356851185192e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052239537256802748e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052239717662419949e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052239898068037505e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052240078473653995e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052240258879271551e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052240439284888751e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052240619690506307e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052240800096122797e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052240980501739642e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052241160907357198e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052241341312973688e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052241521718590533e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052241702124207734e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052241882529824579e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052242062935441425e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052242243341057204e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052242423746674049e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052242604152290895e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052242784557907385e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052242964963523519e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052243145369140365e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052243325774756499e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052243506180372989e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052243686585989124e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052243866991605259e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052244047397221394e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052244227802837528e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052244408208453663e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052244588614069798e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052244769019685933e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052244949425301712e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052245129830917136e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052245310236533271e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052245490642148695e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052245671047764830e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052245851453380254e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052246031858995678e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052246212264611103e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052246392670226882e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052246573075842306e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052246753481457731e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052246933887073155e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052247114292688579e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052247294698304003e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052247475103918717e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052247655509534141e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052247835915149210e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052248016320764634e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052248196726379348e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052248377131994062e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052248557537609130e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052248737943224555e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052248918348839268e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052249098754453271e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052249279160068340e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052249459565683054e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052249639971297768e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052249820376912126e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052250000782526840e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052250181188140843e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052250361593755912e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052250541999369915e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052250722404984273e+01,1.144699999999999989e+02,0.000000000000000000e+00
3.052250902810598276e+01,1.144699999999999989e+02,0.000000000000000000e+00
